region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
shreveport,5800,2010.0,toyota,camry,,,gas,115434.0,clean,automatic,,,,,la,32.6016,-93.8738
wichita,13999,2018.0,chevrolet,cruze,like new,4 cylinders,gas,34130.0,clean,automatic,fwd,compact,hatchback,red,ks,37.8684,-97.6591
tallahassee,13990,2007.0,chevrolet,tahoe lt,,,gas,134000.0,clean,automatic,,,,,fl,30.4874,-84.3189
jacksonville,16999,2013.0,chevrolet,tahoe special,excellent,8 cylinders,gas,116796.0,,automatic,4wd,,SUV,,nc,35.92081,-78.5458
south jersey,7000,2012.0,,Scion tC,,4 cylinders,gas,74618.0,clean,automatic,fwd,,coupe,grey,nj,40.40825,-74.37288
lexington,21998,2009.0,chevrolet,suburban,,8 cylinders,gas,92518.0,clean,automatic,4wd,full-size,SUV,white,ky,,
ft myers / SW florida,8850,2005.0,lexus,ls430,excellent,8 cylinders,gas,160552.0,clean,automatic,,,,white,fl,26.2665,-81.7146
merced,3995,2000.0,toyota,avalon,,6 cylinders,gas,174319.0,clean,automatic,fwd,,sedan,custom,ca,37.6717,-120.9482
las vegas,18990,2020.0,kia,rio s hatchback 5d,good,,gas,6395.0,clean,other,fwd,,hatchback,blue,nv,36.17,-115.12
phoenix,16990,2020.0,hyundai,accent se sedan 4d,good,,gas,18866.0,clean,other,fwd,,sedan,white,az,33.44,-111.8
gold country,3900,2015.0,ford,fiesta se,good,,gas,114000.0,clean,automatic,fwd,compact,sedan,silver,ca,39.3017,-120.9717
hartford,31999,2011.0,gmc,sierra 2500hd,good,8 cylinders,diesel,111999.0,clean,automatic,4wd,,pickup,custom,ct,,
killeen / temple / ft hood,30990,2016.0,gmc,sierra 1500 double cab sle,good,8 cylinders,gas,27754.0,clean,other,,,pickup,white,tx,31.06,-97.65
springfield,8995,2012.0,ford,focus,,,gas,69991.0,clean,automatic,,,hatchback,black,mo,,
south jersey,7273,2011.0,subaru,legacy 2.5i premium,good,4 cylinders,gas,130482.0,clean,automatic,4wd,mid-size,sedan,grey,nj,39.699955,-74.89451
college station,14990,2013.0,ford,c-max hybrid sel wagon 4d,good,,other,40332.0,clean,other,fwd,,wagon,white,tx,30.6,-96.31
inland empire,5950,2011.0,mini,cooper hardtop,like new,4 cylinders,gas,107000.0,clean,automatic,fwd,compact,hatchback,,ca,33.9553,-117.2457
yakima,32711,2017.0,audi,q7,,6 cylinders,gas,63848.0,clean,automatic,4wd,,SUV,black,wa,46.567947,-120.48579
rockford,0,2011.0,honda,ridgeline,excellent,6 cylinders,gas,76522.0,clean,automatic,4wd,mid-size,truck,blue,il,42.26617,-89.00464
richmond,59990,2019.0,mercedes-benz,gls 450 4matic,good,6 cylinders,gas,12765.0,clean,other,,,other,black,in,39.82,-84.88
portland,11995,2008.0,lexus,rx,,,gas,161700.0,clean,automatic,4wd,,wagon,blue,or,45.50857,-122.57822
lubbock,4000,2014.0,ford,mustang,excellent,6 cylinders,gas,147755.0,clean,automatic,,full-size,coupe,black,tx,33.56149,-101.856766
bakersfield,0,2019.0,toyota,corolla hatchback,,,gas,22673.0,clean,automatic,fwd,full-size,sedan,,ca,33.7671,-117.929
north jersey,4600,2007.0,honda,accord ex,excellent,4 cylinders,gas,161700.0,clean,automatic,fwd,full-size,sedan,silver,nj,40.8035,-74.1891
southeast missouri,4600,2011.0,kia,forte,good,4 cylinders,gas,53683.0,rebuilt,automatic,fwd,mid-size,sedan,silver,mo,37.3712,-89.1349
maine,19000,2015.0,gmc,sierra 1500,good,8 cylinders,gas,95500.0,clean,automatic,,,truck,white,me,43.91483,-69.95756
south jersey,52995,2015.0,chevrolet,silverado 2500hd,,,diesel,42577.0,clean,automatic,,,,,nj,40.2043,-74.1779
hickory / lenoir,47955,2015.0,chevrolet,silverado 3500 high ct,,,diesel,153387.0,clean,automatic,,,,,nc,36.2245,-79.8901
anchorage / mat-su,33995,2017.0,nissan,titan,,,diesel,13773.0,clean,automatic,,,pickup,white,ak,61.16167,-149.86311
central NJ,16590,2015.0,volkswagen,beetle 1.8t fleet,good,,gas,39649.0,clean,other,fwd,,hatchback,black,nj,40.22,-74.76
albany,15997,2016.0,mini,cooper s countryman,excellent,,gas,96347.0,clean,automatic,,,SUV,red,ny,42.59818,-73.7083
dallas / fort worth,6900,2008.0,lexus,is250,,,gas,154.0,clean,automatic,,,,,tx,33.0198,-96.9925
prescott,33990,2012.0,mercedes-benz,e-class e 63 amg,good,8 cylinders,gas,88107.0,clean,automatic,rwd,,sedan,white,az,34.62,-112.42
salem,6995,2007.0,ford,expedition el,,,gas,191736.0,clean,other,,,,,or,44.9961,-122.9124
gainesville,576,2017.0,ram,3500 tradesmancrew cab,excellent,6 cylinders,diesel,105794.0,,automatic,4wd,,truck,,fl,28.56702,-81.29152
southeast missouri,0,2018.0,ford,fusion,,,gas,87411.0,clean,automatic,fwd,,,black,mo,37.920616,-90.53915
lewiston / clarkston,59999,2016.0,chevrolet,silverado diesels 2500,,,diesel,67592.0,clean,automatic,4wd,,truck,black,id,47.65613,-117.236946
modesto,14991,2015.0,mini,hardtop,,,gas,34287.0,clean,automatic,,,hatchback,red,ca,38.59777,-121.40306
"quad cities, IA/IL",9947,2013.0,dodge,dart se,,,gas,94420.0,clean,automatic,,,,,il,41.514683,-90.423584
lansing,4495,2008.0,saturn,vue,,,gas,182142.0,clean,automatic,,,,,mi,43.1824,-84.1122
pittsburgh,22590,2018.0,buick,encore premium sport,good,,gas,11856.0,clean,other,,,SUV,black,pa,40.43,-79.97
chattanooga,8880,2002.0,toyota,tacoma,,,gas,238710.0,clean,automatic,fwd,,pickup,,tn,34.20432,-84.13759
pueblo,9877,2009.0,ford,edge,,,gas,117708.0,clean,automatic,,,,silver,co,38.42157,-105.04967
central michigan,14270,2011.0,lincoln,mkx,,,gas,141769.0,clean,automatic,,,,,mi,43.095333,-83.73379
san antonio,16988,2017.0,ram,promaster city cargo van,good,4 cylinders,gas,89068.0,clean,automatic,fwd,mid-size,van,white,tx,27.798088,-97.47515
new hampshire,24700,2017.0,ford,edge,like new,4 cylinders,gas,20054.0,clean,automatic,4wd,mid-size,SUV,blue,nh,43.3679,-72.3422
ft myers / SW florida,19590,2017.0,acura,ilx sedan 4d,good,,diesel,29014.0,clean,other,fwd,,sedan,black,fl,26.63,-81.85
little rock,9000,2014.0,dodge,dart,,,gas,90000.0,clean,automatic,,,,,ar,34.44819,-92.94583
missoula,10290,2013.0,kia,optima,good,4 cylinders,gas,72651.0,clean,automatic,fwd,,sedan,custom,mt,46.9776,-114.0619
terre haute,30590,2017.0,audi,a6 3.0t premium plus sedan,good,6 cylinders,gas,24238.0,clean,automatic,,,sedan,white,in,39.47,-87.38
danville,0,2021.0,volkswagen,tiguan,,,,,,,,,,,va,36.70472,-78.90926
san diego,18999,2004.0,lexus,sc 430 convertible,excellent,8 cylinders,gas,112000.0,clean,automatic,rwd,full-size,convertible,blue,ca,32.894066,-117.15103
boston,18495,2013.0,chevrolet,suburban ltz 1500,excellent,8 cylinders,gas,146774.0,,automatic,4wd,,SUV,,ma,42.241978,-71.14775
kokomo,650,1994.0,chevrolet,s10 pickup,,,gas,220000.0,clean,automatic,,,,,in,40.4509,-86.1352
columbus,4500,2002.0,ford,f250 7.3 diesel,good,8 cylinders,diesel,170000.0,rebuilt,automatic,4wd,,pickup,,oh,39.923,-82.8664
amarillo,15775,2012.0,toyota,highlander hybrid,,6 cylinders,hybrid,146000.0,clean,automatic,4wd,mid-size,SUV,black,tx,35.203068,-101.895004
bellingham,27999,2013.0,ford,super duty f-350 srw,,8 cylinders,gas,134888.0,clean,automatic,4wd,,truck,,wa,47.81247,-122.32164
des moines,12995,2012.0,chevrolet,colorado,good,4 cylinders,gas,99682.0,rebuilt,automatic,4wd,full-size,truck,silver,ia,41.614357,-93.60057
mcallen / edinburg,5300,2007.0,ford,ranger sport,excellent,6 cylinders,gas,200000.0,clean,automatic,,,pickup,white,tx,25.9337,-97.5174
skagit / island / SJI,1850,2000.0,ford,f150 4door 4x4,fair,8 cylinders,gas,198000.0,clean,automatic,4wd,,,,wa,48.484657,-122.300804
new orleans,8995,2018.0,chevrolet,cruze,good,4 cylinders,gas,179271.0,clean,automatic,fwd,,sedan,red,la,29.7489,-95.3391
asheville,32590,2017.0,infiniti,q50 red sport 400 sedan,good,,other,25627.0,clean,other,rwd,,sedan,red,nc,35.57,-82.54
shreveport,0,2014.0,ford,f550 4x4,,,diesel,0.0,clean,other,,,other,white,la,,
fort smith,0,2017.0,toyota,tacoma,excellent,6 cylinders,gas,26394.0,clean,automatic,4wd,compact,truck,white,ar,34.90067,-95.75197
treasure coast,4600,2009.0,mazda,cx-7,good,4 cylinders,gas,119000.0,clean,automatic,,,SUV,grey,fl,27.252632,-80.84147
columbia / jeff city,6900,2010.0,ford,fusion se,good,4 cylinders,gas,113700.0,clean,automatic,,,sedan,,mo,38.9348,-92.3639
fayetteville,34900,2012.0,ram,3500,excellent,6 cylinders,diesel,85622.0,clean,automatic,4wd,full-size,truck,white,nc,36.277275,-80.33983
akron / canton,30990,2020.0,,Genesis G70 2.0T Sedan 4D,good,,other,2308.0,clean,other,rwd,,sedan,,oh,41.08,-81.52
chicago,5999,2004.0,honda,accord exv6,,,gas,107168.0,clean,automatic,,,,,il,41.7662,-88.141
columbus,36590,2017.0,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,14020.0,clean,other,rwd,,coupe,blue,oh,39.98,-82.98
north jersey,16199,2013.0,mercedes-benz,gl-class,,,gas,112344.0,clean,automatic,,,SUV,white,nj,40.13519,-74.70357
oklahoma city,1400,2003.0,buick,century,fair,6 cylinders,gas,263000.0,clean,automatic,fwd,mid-size,sedan,brown,ok,35.5153,-97.645
modesto,25990,2015.0,lexus,nx 300h sport utility 4d,good,,other,55783.0,clean,other,,,hatchback,white,ca,33.779213,-84.41181
myrtle beach,45999,2020.0,gmc,"sierra 1500 4wd crew cab 147"" sle",,,,28580.0,clean,automatic,4wd,,pickup,white,sc,33.383434,-79.30546
omaha / council bluffs,6500,2015.0,nissan,versa note sv,like new,4 cylinders,gas,56352.0,clean,automatic,fwd,mid-size,hatchback,black,ia,41.1497,-95.9099
south bend / michiana,37590,2012.0,chevrolet,corvette grand sport,good,8 cylinders,gas,41066.0,clean,automatic,rwd,,coupe,white,in,41.67,-86.26
san antonio,1000,2018.0,chevrolet,malibu,like new,4 cylinders,gas,21000.0,clean,automatic,,,,,tx,29.3641,-98.4924
ft myers / SW florida,35590,2019.0,cadillac,cts sedan 4d,good,,other,3204.0,clean,other,,,sedan,silver,fl,26.63,-81.85
colorado springs,22990,2018.0,gmc,terrain sle sport utility 4d,good,,gas,23058.0,clean,other,fwd,,other,,co,38.82108,-104.82311
spokane / coeur d'alene,26998,2015.0,jeep,cherokee,,,gas,37285.0,clean,automatic,,,,,id,47.7205,-116.9353
holland,22990,2015.0,chevrolet,camaro lt coupe 2d,good,6 cylinders,gas,25865.0,clean,other,rwd,,coupe,red,mi,42.77,-86.1
akron / canton,36000,2018.0,chevrolet,silverado 1500,,,gas,30277.0,clean,automatic,4wd,,pickup,white,oh,40.58853,-81.09298
savannah / hinesville,49590,2020.0,ford,f250 super duty crew cab xl,good,,other,6033.0,clean,other,4wd,,pickup,white,ga,32.08,-81.1
columbia,30990,2019.0,subaru,forester sport suv 4d,good,,gas,11113.0,clean,other,,,hatchback,blue,sc,34.0,-81.03
modesto,12995,2016.0,toyota,camry lesedan,excellent,4 cylinders,gas,90271.0,,automatic,,,sedan,,ca,37.63787,-120.975296
ft myers / SW florida,8000,1993.0,,saab 900 turbo convertible,excellent,,gas,98000.0,clean,automatic,fwd,mid-size,convertible,black,fl,26.3626,-81.8183
tampa bay area,19495,2016.0,mazda,mazda6,,4 cylinders,gas,11194.0,clean,automatic,fwd,mid-size,sedan,blue,fl,27.788265,-82.67746
daytona beach,54900,2019.0,honda,odyssey exl,excellent,6 cylinders,gas,2169.0,,automatic,,,van,,fl,28.59698,-81.39855
lubbock,7995,2012.0,jeep,liberty,,,gas,151298.0,clean,automatic,rwd,,SUV,white,tx,33.19787,-102.27294
bloomington-normal,27990,2017.0,infiniti,qx60 3.5 sport utility,good,6 cylinders,other,26355.0,clean,other,fwd,,other,blue,il,40.47,-88.97
des moines,14000,2012.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,107200.0,clean,automatic,4wd,,truck,blue,ia,41.72943,-93.60458
portland,5500,2001.0,audi,tt,good,4 cylinders,gas,115000.0,clean,manual,4wd,compact,convertible,black,or,45.1573,-122.4248
sarasota-bradenton,33990,2016.0,chevrolet,tahoe,excellent,8 cylinders,gas,110343.0,clean,automatic,4wd,full-size,SUV,black,fl,28.027023,-82.45989
greenville / upstate,20990,2018.0,honda,accord lx sedan 4d,good,,other,28970.0,clean,other,fwd,,sedan,black,sc,34.83,-82.37
lincoln,1000,2007.0,ford,freestyle,,,gas,158000.0,clean,automatic,,,,,ne,40.8392,-96.6532
skagit / island / SJI,15999,2015.0,bmw,3 series 320i xdrive,good,4 cylinders,gas,81758.0,clean,automatic,,,sedan,,wa,48.7542,-122.471
cincinnati,29500,1993.0,ford,mustang,,,gas,78160.0,clean,manual,,,,,oh,33.6372,-96.6184
stockton,11200,2014.0,bmw,x1,excellent,,gas,93900.0,salvage,automatic,rwd,,,white,ca,38.6952,-121.3075
chicago,12500,2005.0,mitsubishi,fuso fm260,good,6 cylinders,diesel,520000.0,clean,manual,rwd,,truck,white,il,41.862232,-87.75426
orange county,57460,2020.0,jeep,gladiator,,,gas,31481.0,clean,automatic,4wd,,pickup,silver,ca,34.10722,-117.45531
new hampshire,37990,2017.0,gmc,sierra,,,gas,73000.0,clean,automatic,4wd,,other,white,nh,42.834976,-71.10779
cleveland,5995,2009.0,nissan,cube,,,gas,159711.0,clean,automatic,,compact,wagon,silver,oh,41.8018,-81.04815
new haven,11800,2015.0,chevrolet,equinox,good,4 cylinders,other,108600.0,clean,automatic,fwd,,other,black,ct,,
minneapolis / st paul,299,2015.0,lincoln,mkc,,4 cylinders,gas,44627.0,clean,automatic,4wd,,SUV,,mn,44.83489,-93.288574
billings,27900,2014.0,dodge,grand caravan,,6 cylinders,gas,66013.0,clean,automatic,fwd,,,blue,mt,39.674404,-104.998604
SF bay area,0,2014.0,ford,f-150,,8 cylinders,gas,174749.0,clean,automatic,rwd,,truck,white,ca,33.69955,-117.93912
boston,29990,2015.0,audi,s5 premium plus coupe 2d,good,6 cylinders,gas,35846.0,clean,other,,,coupe,silver,ma,42.41,-70.99
cincinnati,3295,2008.0,chevrolet,cobalt lt2 sedan,,4 cylinders,gas,117310.0,clean,automatic,fwd,,sedan,,oh,39.198074,-84.737015
kennewick-pasco-richland,0,2019.0,nissan,pathfinder,,6 cylinders,gas,38700.0,clean,automatic,4wd,,SUV,,wa,46.237408,-119.12794
texoma,25900,2019.0,nissan,frontier sv crew cab,like new,6 cylinders,gas,8400.0,clean,automatic,rwd,mid-size,truck,grey,ok,34.1566,-97.1792
fairbanks,32900,2018.0,dodge,grand caravan se,like new,6 cylinders,gas,48490.0,clean,automatic,fwd,mid-size,mini-van,red,ak,61.6303,-148.9872
maine,99,2018.0,dodge,durango,,,gas,49203.0,clean,automatic,4wd,full-size,,white,me,43.244,-71.4105
port huron,19990,2018.0,mitsubishi,outlander es sport,good,,other,15207.0,clean,automatic,4wd,,SUV,,mi,43.01717,-82.45099
south jersey,15900,2005.0,jeep,wrangler lj unlimited,excellent,6 cylinders,gas,100000.0,clean,automatic,4wd,full-size,SUV,silver,nj,39.9074,-75.0008
long island,479,2018.0,bmw,x5,,,gas,25612.0,clean,automatic,4wd,,SUV,black,ny,40.707153,-73.66906
knoxville,7964,2008.0,toyota,rav4,,,gas,195922.0,clean,automatic,fwd,,,black,tn,35.91884,-84.07384
youngstown,25590,2018.0,mitsubishi,outlander phev sel,good,,other,16495.0,clean,other,4wd,,other,brown,oh,41.09,-80.64
new hampshire,1200,2008.0,chevrolet,cobalt lt 2.2,good,4 cylinders,gas,216800.0,clean,automatic,fwd,mid-size,sedan,black,nh,43.079697,-70.76664
el paso,12000,2011.0,honda,accord coupe,like new,6 cylinders,gas,95000.0,clean,manual,,,,,tx,31.7677,-106.3016
tulsa,30938,2021.0,gmc,terrain,,,gas,3451.0,clean,automatic,fwd,,,,ok,38.4018,-93.785
knoxville,6995,2012.0,,FIAT-34 MPG HWY!! STRONG FUN DRIVE!! AUTO! 500-2 OWNER!,,4 cylinders,gas,107508.0,clean,automatic,fwd,,coupe,,tn,35.950577,-83.91375
oklahoma city,38499,2019.0,gmc,acadia,,,gas,15241.0,clean,automatic,fwd,,,,ok,35.559498,-97.645485
huntsville / decatur,23900,2015.0,ram,1500,,,diesel,107670.0,clean,automatic,4wd,,pickup,silver,al,35.59352,-87.05396
tri-cities,8995,2012.0,ford,escape,,,gas,136257.0,clean,automatic,,,other,blue,tn,36.438087,-82.30205
rhode island,20590,2013.0,volvo,c70 t5 premier plus,good,,other,68968.0,clean,other,,,other,black,ri,41.82,-71.41
southeast IA,36000,2019.0,chevrolet,colorado,,,gas,28115.0,clean,automatic,,,,,ia,41.00793,-92.41975
maine,7500,2008.0,bmw,x5 3.0l awd suv,excellent,6 cylinders,gas,170000.0,clean,automatic,4wd,,SUV,white,me,42.977448,-71.45497
new york city,22844,2012.0,bmw,x5 m,excellent,8 cylinders,gas,73409.0,clean,automatic,4wd,mid-size,SUV,blue,ny,40.80353,-73.51923
scranton / wilkes-barre,22995,2018.0,mercedes-benz,,good,4 cylinders,gas,54932.0,clean,automatic,4wd,,SUV,white,pa,41.38195,-75.68553
pensacola,12449,2016.0,chevrolet,equinox ls,,,gas,83443.0,clean,automatic,,,,,fl,29.801523,-82.529335
springfield,15995,2006.0,chevrolet,silverado 2500hd ls,excellent,8 cylinders,diesel,188000.0,clean,automatic,4wd,full-size,truck,red,mo,38.138,-92.6664
great falls,39998,2014.0,ford,f-350,,,diesel,194764.0,clean,manual,4wd,,,,mt,47.69606,-116.7814
tulsa,5959,2012.0,mazda,mazda2,excellent,,gas,117465.0,clean,automatic,,,,,ok,35.99089,-95.88642
salem,0,2012.0,honda,civic sdn,,4 cylinders,gas,139866.0,clean,automatic,fwd,,sedan,,or,44.819992,-122.7997
ann arbor,20695,2013.0,ram,1500 slt 4wd!extended cab,excellent,8 cylinders,gas,103226.0,,automatic,4wd,,truck,,mi,42.300674,-84.02411
des moines,28700,2015.0,nissan,nv 3500 sl v8,excellent,8 cylinders,gas,52100.0,lien,automatic,rwd,full-size,van,silver,ia,41.6255,-93.6736
boston,49944,2020.0,jeep,gladiator,,,gas,8840.0,clean,automatic,4wd,,pickup,blue,ma,42.788204,-71.23373
mendocino county,13500,2015.0,volkswagen,golf tdi,like new,4 cylinders,diesel,53000.0,salvage,automatic,fwd,,,white,ca,38.6072,-121.2761
bend,21990,2004.0,toyota,tacoma,,,gas,161052.0,clean,automatic,4wd,,pickup,black,or,45.382347,-122.60513
minneapolis / st paul,22988,2018.0,ford,escape,,,gas,26559.0,clean,automatic,4wd,,SUV,,mn,45.02435,-93.168304
williamsport,24990,2016.0,mazda,mx-5 miata grand touring,good,,gas,6218.0,clean,other,rwd,,other,,pa,41.23,-77.03
wilmington,20595,2015.0,ford,f350 crew flatbed utility,,8 cylinders,diesel,253100.0,clean,automatic,4wd,,,,nc,34.25485,-77.845566
jersey shore,6500,2005.0,rover,lr3 se,good,8 cylinders,gas,166000.0,clean,automatic,fwd,full-size,SUV,blue,nj,40.4177,-74.0623
san marcos,0,2021.0,toyota,rav4 hybrid,excellent,4 cylinders,hybrid,5.0,clean,automatic,,,SUV,black,tx,30.10984,-97.35746
new hampshire,36450,2018.0,mercedes-benz,gle 350,,6 cylinders,gas,51316.0,clean,automatic,4wd,,SUV,white,nh,42.68101,-71.42583
baltimore,11699,2014.0,honda,accord hybrid,,4 cylinders,hybrid,164357.0,clean,automatic,fwd,mid-size,sedan,black,md,39.492413,-76.674446
huntsville / decatur,2800,2001.0,ford,sport trac,good,6 cylinders,gas,225000.0,clean,automatic,rwd,mid-size,pickup,black,al,34.7448,-86.6704
new haven,18990,2018.0,hyundai,sonata sel sedan 4d,good,,gas,16789.0,clean,other,fwd,,sedan,white,ct,41.31,-72.92
ocala,25990,2011.0,ford,mustang gt premium,good,8 cylinders,gas,24122.0,clean,other,rwd,,other,blue,fl,29.18,-82.13
inland empire,14997,2017.0,hyundai,elantra value edition,,4 cylinders,gas,47214.0,clean,automatic,fwd,,sedan,blue,ca,33.505383,-117.15573
hawaii,37000,2018.0,mercedes-benz,e-class,,,gas,9152.0,clean,automatic,,,sedan,silver,hi,21.37842,-158.02242
twin falls,10495,2013.0,chrysler,200,,6 cylinders,gas,52185.0,clean,automatic,fwd,,sedan,silver,id,42.551296,-114.46503
jacksonville,4900,2004.0,ford,mustang,excellent,6 cylinders,gas,124611.0,clean,automatic,rwd,full-size,coupe,red,fl,30.289001,-81.58292
"st louis, MO",1750,2002.0,honda,accord,,,gas,237000.0,clean,automatic,,,,,il,38.6442,-90.2082
vermont,10995,2013.0,ford,explorer police interceptor,,,gas,101000.0,clean,automatic,,,,,vt,44.457603,-73.14543
fresno / madera,12000,2015.0,honda,accord,excellent,4 cylinders,gas,130000.0,clean,manual,fwd,mid-size,sedan,black,ca,36.8253,-119.6802
san diego,25999,2015.0,toyota,highlander,,,other,84024.0,clean,automatic,,,,,ca,33.131737,-117.08596
lakeland,23998,2016.0,audi,q3,,,gas,58555.0,clean,automatic,,compact,SUV,silver,fl,28.01567,-82.45978
fredericksburg,5995,2011.0,hyundai,elantra,,,gas,126700.0,clean,automatic,,,sedan,white,va,38.270805,-77.49503
dallas / fort worth,30990,2017.0,chrysler,pacifica touring-l plus,good,,other,6412.0,clean,other,fwd,,van,silver,tx,32.79,-96.76
jacksonville,33995,2015.0,gmc,sierra 1500 sle/z71 monster,good,8 cylinders,gas,127000.0,clean,automatic,4wd,full-size,truck,blue,fl,30.207289,-81.73897
anchorage / mat-su,33000,2013.0,lexus,lx570,excellent,8 cylinders,gas,114300.0,clean,automatic,4wd,full-size,SUV,black,ak,61.220043,-149.77643
rochester,18900,2000.0,chevrolet,corvette convertible,good,8 cylinders,gas,47000.0,clean,automatic,rwd,full-size,convertible,black,ny,43.2923,-77.7905
albuquerque,5800,2008.0,chevrolet,cobalt,,,gas,112000.0,clean,automatic,,,,,nm,35.1347,-106.6427
inland empire,0,2008.0,,WORKHORSE W42,,,gas,,clean,,fwd,,other,black,ca,25.59352,-80.361755
"washington, DC",12495,2012.0,mini,countryman s all4,good,4 cylinders,gas,65976.0,clean,manual,4wd,,,black,dc,38.789448,-77.449104
tampa bay area,15450,2014.0,bmw,528i,,,gas,85193.0,clean,automatic,,,sedan,,fl,27.82146,-82.70887
little rock,4900,2012.0,toyota,,,,gas,206975.0,clean,automatic,,,,,ar,35.2295,-92.3578
inland empire,4100,2007.0,volvo,s40,excellent,5 cylinders,gas,112000.0,clean,automatic,fwd,mid-size,sedan,black,ca,33.9208,-117.4589
evansville,16922,2016.0,toyota,camry xse,good,,gas,99278.0,clean,automatic,fwd,,sedan,,in,38.373295,-86.946075
omaha / council bluffs,30988,2017.0,ford,f-150,,,gas,91345.0,clean,automatic,,,,,ia,41.1345,-96.2458
gadsden-anniston,37590,2019.0,acura,mdx advance pkg sport,good,,other,30356.0,clean,other,,,other,silver,al,34.01,-86.01
albuquerque,23000,2018.0,ford,mustang,,,gas,39000.0,rebuilt,manual,,,coupe,,nm,32.707867,-103.47141
maine,5995,2005.0,nissan,xterra,like new,,gas,180.0,clean,automatic,4wd,,,,me,42.886604,-71.14895
inland empire,339,2016.0,ford,f-150 xlt,,,gas,34775.0,clean,automatic,rwd,,pickup,white,ca,34.023567,-117.11177
asheville,0,2017.0,bmw,5 series,,4 cylinders,gas,79929.0,clean,automatic,rwd,mid-size,sedan,black,nc,,
lansing,9500,2015.0,jeep,cherokee,good,4 cylinders,gas,147000.0,clean,automatic,fwd,mid-size,SUV,grey,mi,42.7529,-84.7373
rhode island,4975,2010.0,mini,cooper clubman,,,gas,139357.0,clean,manual,,,,,ri,41.8138,-71.3688
grand rapids,32950,2018.0,jeep,all-new wrangler unlimited,,6 cylinders,gas,46623.0,clean,manual,4wd,,SUV,black,mi,42.449123,-85.66953
fayetteville,6300,2012.0,honda,civic,good,4 cylinders,gas,201000.0,clean,automatic,fwd,full-size,sedan,silver,nc,34.9536,-78.9354
hartford,3000,2006.0,jeep,commander,excellent,6 cylinders,gas,187000.0,clean,manual,4wd,,,white,ct,41.682217,-72.84994
san diego,8700,2008.0,toyota,tacoma,good,,gas,166145.0,clean,automatic,,,,black,ca,32.7928,-116.9665
fort collins / north CO,15172,2019.0,toyota,yaris l,good,,other,32742.0,clean,other,fwd,,sedan,black,co,40.39442,-104.73617
jacksonville,78995,2019.0,ford,super duty f-250,,8 cylinders,diesel,38398.0,clean,automatic,4wd,,truck,,fl,28.76382,-81.28265
fort collins / north CO,37995,2015.0,gmc,sierra 1500,,8 cylinders,gas,116667.0,clean,automatic,4wd,,truck,white,co,40.392757,-104.72785
flint,7995,2011.0,ford,f-150,,,gas,215842.0,clean,automatic,,,,,mi,43.1824,-84.1122
clarksville,28990,2018.0,alfa-romeo,romeo stelvio sport suv 4d,good,,other,21943.0,clean,other,,,hatchback,black,tn,35.06,-85.25
dayton / springfield,15840,2016.0,jeep,cherokee,,4 cylinders,gas,81952.0,clean,automatic,4wd,,SUV,silver,oh,40.833836,-81.33887
ogden-clearfield,10550,2014.0,subaru,outback,,4 cylinders,gas,69066.0,rebuilt,automatic,4wd,,wagon,green,ut,40.746376,-111.940254
killeen / temple / ft hood,40590,2019.0,ford,f250 super duty regular cab,good,8 cylinders,other,9313.0,clean,other,4wd,,pickup,white,tx,31.06,-97.65
vermont,6400,2005.0,bmw,x5,,,gas,145000.0,clean,automatic,,full-size,,black,vt,44.4421,-73.0825
orange county,500,2013.0,nissan,altima,,,gas,130000.0,clean,automatic,,,,,ca,34.0033,-117.445
omaha / council bluffs,28995,2018.0,jeep,wrangler,,,gas,93667.0,clean,automatic,4wd,,SUV,blue,ia,41.424187,-96.49991
detroit metro,2995,2007.0,ford,edge se,good,6 cylinders,gas,220000.0,clean,automatic,fwd,full-size,SUV,orange,mi,42.37915,-83.13884
joplin,0,2006.0,ford,mustang,like new,6 cylinders,gas,100000.0,clean,automatic,rwd,mid-size,coupe,red,mo,37.0969,-94.5051
little rock,14800,1999.0,jeep,sport,,,gas,124000.0,clean,automatic,,,,,ar,33.57985,-92.82452
tyler / east TX,41995,2018.0,ford,expedition xlt fx4,,,gas,60944.0,clean,automatic,4wd,,SUV,grey,tx,32.5251,-94.799
ithaca,17995,2013.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,151701.0,clean,automatic,4wd,full-size,truck,black,ny,43.223553,-77.372475
atlanta,93,2015.0,nissan,rogue select awd,like new,4 cylinders,gas,115584.0,clean,automatic,4wd,mid-size,SUV,blue,ga,33.506935,-84.227005
klamath falls,439,2015.0,chevrolet,silverado 1500,,8 cylinders,gas,81039.0,clean,automatic,4wd,,truck,,or,42.20326,-121.75716
lehigh valley,3600,2005.0,chrysler,pt cruiser basewagon,good,4 cylinders,gas,107773.0,,automatic,,,van,,pa,40.617325,-75.44144
skagit / island / SJI,32950,2014.0,rover,evoque,excellent,4 cylinders,gas,16441.0,clean,automatic,4wd,,SUV,silver,wa,48.436268,-122.32697
jackson,6495,2009.0,ford,f-150,,,gas,200878.0,clean,automatic,,,,,mi,43.1824,-84.1122
los angeles,2200,1997.0,,For Ranger XLT,good,6 cylinders,gas,216700.0,clean,automatic,,,,,ca,34.2006,-118.4868
