region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
rockford,9500,2012.0,dodge,grand caravan,excellent,6 cylinders,gas,88461.0,clean,automatic,fwd,mid-size,mini-van,black,il,42.250137,-88.82211
"kansas city, MO",32590,2017.0,bmw,x4 m40i sport utility 4d,good,,gas,60196.0,clean,other,,,other,black,ks,39.09,-94.58
buffalo,10876,2015.0,buick,verano,,4 cylinders,gas,76972.0,clean,automatic,fwd,compact,sedan,grey,ny,42.787426,-78.7621
dayton / springfield,3500,1998.0,cadillac,deville,good,8 cylinders,gas,111000.0,clean,automatic,fwd,full-size,sedan,grey,oh,39.8285,-84.2024
detroit metro,7995,2014.0,chevrolet,cruze lt,excellent,4 cylinders,gas,81453.0,clean,automatic,fwd,full-size,sedan,brown,mi,42.343163,-83.23308
springfield,14997,2017.0,kia,soul exclaim,good,,other,37316.0,clean,automatic,fwd,,hatchback,black,mo,37.204247,-93.22726
boulder,13500,2014.0,subaru,forester,,,gas,119400.0,clean,automatic,,,,,co,40.15981,-104.98119
richmond,13000,1992.0,,1992 C1500,,8 cylinders,gas,100400.0,clean,automatic,rwd,,,,va,37.3429,-77.4156
mason city,5500,2004.0,chevrolet,colorado,good,5 cylinders,gas,197000.0,clean,automatic,4wd,,pickup,white,ia,43.106445,-93.40147
jacksonville,0,2017.0,gmc,sierra,,,gas,77869.0,clean,automatic,4wd,,pickup,,fl,31.39429,-81.44721
medford-ashland,59980,2019.0,ford,f-350,,,diesel,26598.0,clean,automatic,4wd,,other,white,or,38.79662,-121.21584
salem,9495,2011.0,subaru,outback,,,gas,175991.0,clean,automatic,,,SUV,white,or,45.51796,-122.57857
tulsa,0,2016.0,mazda,cx-3 fwd grand touring,excellent,,gas,81942.0,clean,automatic,,,SUV,,ok,36.0557,-96.0602
vermont,0,2006.0,toyota,tacoma access cab pickup,excellent,6 cylinders,gas,131560.0,clean,automatic,4wd,compact,pickup,silver,vt,44.20904,-72.514595
houston,37590,2018.0,bmw,x5 sdrive35i sport utility,good,,other,29476.0,clean,other,rwd,,other,black,tx,29.76,-95.38
"kansas city, MO",12345,2006.0,honda,s2000,excellent,4 cylinders,gas,40800.0,rebuilt,manual,rwd,,convertible,silver,ks,39.0731,-94.3533
greenville / upstate,0,2006.0,,Hummer H3,excellent,,gas,,clean,automatic,4wd,,,,sc,34.33917,-84.02182
